"comuna","acceso_controladoFALSE","acceso_controladoTRUE","se.acceso_controladoFALSE","se.acceso_controladoTRUE"
"Aisen",0.969895179490252,0.0301048205097481,0.0101303245656497,0.0101303245656497
"Alto Hospicio",0.854713520298629,0.145286479701371,0.0277709126634181,0.0277709126634181
"Ancud",0.980866965479624,0.0191330345203755,0.00941637762498098,0.00941637762498098
"Angol",0.895713864782177,0.104286135217823,0.0437074435476839,0.0437074435476839
"Antofagasta",0.672136951055777,0.327863048944223,0.0381266764043366,0.0381266764043366
"Arica",0.806415636380787,0.193584363619214,0.028061979306031,0.028061979306031
"Buin",0.919524127353739,0.0804758726462609,0.038757619868911,0.038757619868911
"Bulnes",0.954242130652249,0.0457578693477514,0.0230390177210784,0.0230390177210784
"Calama",0.848360480517268,0.151639519482732,0.0292181700530558,0.0292181700530558
"Calbuco",0.952868711140298,0.0471312888597022,0.0177667422609765,0.0177667422609765
"Calera",0.859634412516903,0.140365587483097,0.0357331020933582,0.0357331020933582
"Castro",0.99308520367585,0.00691479632414992,0.00489786152014703,0.00489786152014703
"Cauquenes",0.983777650540488,0.0162223494595123,0.00809803351920333,0.00809803351920334
"Cerrillos",0.874092770913133,0.125907229086867,0.0363105662278481,0.0363105662278481
"Cerro Navia",0.948971991326889,0.0510280086731106,0.0403944208280144,0.0403944208280144
"Chanaral",1,0,0,0
"Chiguayante",0.891336689340698,0.108663310659302,0.0325527515091972,0.0325527515091972
"Chillan",0.896212207586643,0.103787792413357,0.0268120698066526,0.0268120698066526
"Chillan Viejo",0.96942656336026,0.0305734366397398,0.0110686385583115,0.0110686385583115
"Chimbarongo",0.992033266198876,0.00796673380112388,0.0055033137573537,0.0055033137573537
"Coihaique",0.978269802811324,0.0217301971886755,0.00821065110074727,0.00821065110074727
"Coihueco",0.976856703729409,0.0231432962705906,0.0182374457426691,0.0182374457426691
"Colina",0.723548809835175,0.276451190164825,0.0548656953272387,0.0548656953272387
