"comuna","robo_armas_de_algun_tipoFALSE","robo_armas_de_algun_tipoTRUE","se.robo_armas_de_algun_tipoFALSE","se.robo_armas_de_algun_tipoTRUE"
"Aisen",1,0,3.48241117936935e-18,0
"Alto Hospicio",1,0,0,0
"Ancud",1,0,3.58932071233221e-18,0
"Angol",1,0,0,0
"Antofagasta",1,0,0,0
"Arica",1,0,0,0
"Buin",1,0,0,0
"Bulnes",1,0,5.70553807032912e-18,0
"Calama",1,0,0,0
"Calbuco",1,0,0,0
"Calera",1,0,4.02724978530051e-18,0
"Castro",1,0,0,0
"Cauquenes",1,0,0,0
"Cerrillos",1,0,5.66943965233063e-18,0
"Cerro Navia",1,0,0,0
"Chanaral",1,0,0,0
"Chiguayante",1,0,0,0
"Chillan",1,0,0,0
"Chillan Viejo",1,0,0,0
"Chimbarongo",1,0,0,0
"Coihaique",0.998485590974132,0.00151440902586821,0.00151263132103977,0.00151263132103977
"Coihueco",1,0,8.79066758490457e-18,0
"Colina",1,0,0,0
"Collipulli",1,0,4.86964602505608e-18,0
"Concepcion",1,0,0,0
"Conchali",1,0,0,0
"Concon",1,0,0,0
"Constitucion",1,0,0,0
"Copiapo",1,0,0,0
"Coquimbo",0.997845561085285,0.00215443891471509,0.00215566286212658,0.00215566286212658
"Coronel",1,0,0,0
"Curico",1,0,0,0
"Donihue",1,0,0,0
"El Bosque",1,0,0,0
"Estacion Central",1,0,0,0
"Graneros",1,0,0,0
"Hualpen",1,0,0,0
"Huechuraba",1,0,0,0
"Illapel",1,0,0,0
"Independencia",1,0,0,0
"Iquique",1,0,0,0
"La Cisterna",1,0,0,0
"La Florida",1,0,0,0
"La Granja",1,0,0,0
"La Ligua",1,0,5.4433915040218e-18,0
"La Pintana",1,0,0,0
"La Reina",1,0,5.55297386484453e-18,0
"La Serena",1,0,0,0
"La Union",1,0,0,0
"Lampa",1,0,0,0
"Las Condes",1,0,0,0
"Lautaro",1,0,0,0
"Lebu",1,0,0,0
"Limache",1,0,0,0
"Linares",1,0,0,0
"Lo Barnechea",1,0,0,0
"Lo Espejo",1,0,0,0
"Lo Prado",1,0,0,0
"Loncoche",1,0,7.48238503126799e-18,0
"Los Andes",1,0,3.70930879899419e-18,0
"Los Angeles",1,0,0,0
"Los Vilos",1,0,0,0
"Lota",1,0,0,0
"Machali",1,0,0,0
"Macul",1,0,0,0
"Maipu",1,0,0,0
"Maule",1,0,4.96475273538556e-18,0
"Melipilla",1,0,0,0
"Molina",1,0,4.35676078665155e-18,0
"Mostazal",1,0,6.60276858522247e-18,0
"Natales",1,0,0,0
"Nueva Imperial",1,0,8.10821835274616e-18,0
"Nunoa",1,0,0,0
"Osorno",1,0,0,0
"Ovalle",1,0,3.2729696195575e-18,0
"Padre Hurtado",1,0,0,0
"Padre Las Casas",1,0,0,0
"Paillaco",1,0,0,0
"Paine",1,0,0,0
"Panguipulli",1,0,0,0
"Parral",1,0,0,0
"Pedro Aguirre Cerda",1,0,0,0
"Penaflor",1,0,4.24898207990137e-18,0
"Penalolen",1,0,0,0
"Penco",1,0,0,0
"Pichilemu",1,0,0,0
"Pitrufquen",1,0,0,0
"Pozo Almonte",1,0,0,0
"Providencia",1,0,4.46382485098762e-18,0
"Pucon",1,0,0,0
"Pudahuel",1,0,0,0
"Puente Alto",1,0,0,0
"Puerto Montt",1,0,0,0
"Puerto Varas",1,0,0,0
"Punta Arenas",1,0,0,0
"Quellon",1,0,0,0
"Quilicura",0.995868205062173,0.00413179493782689,0.0041657879874899,0.0041657879874899
"Quillon",1,0,0,0
"Quillota",1,0,4.31617368876064e-18,0
"Quilpue",1,0,3.37179957770078e-18,0
"Quinta Normal",1,0,0,0
"Quirihue",1,0,0,0
"Rancagua",1,0,4.26724954356604e-18,0
"Recoleta",1,0,4.67948931352522e-18,0
"Renca",1,0,4.89716385376518e-18,0
"Rengo",1,0,0,0
"Rio Bueno",1,0,0,0
"San Antonio",1,0,4.49349276228685e-18,0
"San Bernardo",1,0,5.24505821804065e-18,0
"San Carlos",1,0,0,0
"San Felipe",1,0,0,0
"San Fernando",1,0,0,0
"San Javier",1,0,0,0
"San Joaquin",1,0,0,0
"San Miguel",1,0,0,0
"San Pedro de la Paz",1,0,0,0
"San Ramon",1,0,0,0
"San Vicente",1,0,0,0
"Santa Cruz",1,0,0,0
"Santiago",1,0,0,0
"Talagante",1,0,0,0
"Talca",1,0,0,0
"Talcahuano",1,0,0,0
"Temuco",0.998735103660588,0.00126489633941177,0.00126158263813217,0.00126158263813217
"Tocopilla",1,0,0,0
"Tome",1,0,2.8321692085035e-18,0
"Valdivia",1,0,3.26253160040128e-18,0
"Vallenar",1,0,0,0
"Valparaiso",1,0,0,0
"Victoria",1,0,6.51676102253937e-18,0
"Vilcun",1,0,0,0
"Villa Alemana",1,0,0,0
"Villarrica",1,0,0,0
"Vina del Mar",1,0,0,0
"Vitacura",1,0,0,0
"Yungay",1,0,5.14027387607046e-18,0
