"comuna","acceso_directoFALSE","acceso_directoTRUE","se.acceso_directoFALSE","se.acceso_directoTRUE"
"Aisen",0.0386446573416755,0.961355342658325,0.0112009044878724,0.0112009044878724
"Alto Hospicio",0.152210629837634,0.847789370162366,0.0276533952742074,0.0276533952742074
"Ancud",0.0654220757292468,0.934577924270753,0.0249427940986757,0.0249427940986757
"Angol",0.104286135217823,0.895713864782177,0.0437074435476839,0.0437074435476839
"Antofagasta",0.327863048944223,0.672136951055777,0.0381266764043366,0.0381266764043366
"Arica",0.193584363619214,0.806415636380787,0.028061979306031,0.028061979306031
"Buin",0.0804758726462609,0.919524127353739,0.038757619868911,0.038757619868911
"Bulnes",0.0560736910027847,0.943926308997215,0.0239699455746434,0.0239699455746434
"Calama",0.17622472462608,0.82377527537392,0.0335667898959682,0.0335667898959682
"Calbuco",0.126345291618151,0.873654708381849,0.0448737214826922,0.0448737214826922
"Calera",0.143744699540889,0.856255300459111,0.0355859524976625,0.0355859524976625
"Castro",0.0413676900091216,0.958632309990878,0.0141484695713937,0.0141484695713937
"Cauquenes",0.0162223494595123,0.983777650540488,0.00809803351920334,0.00809803351920333
"Cerrillos",0.12902049831711,0.87097950168289,0.0361998327417537,0.0361998327417537
"Cerro Navia",0.0549682457390777,0.945031754260922,0.0404309799173504,0.0404309799173504
"Chanaral",0.0098155337535634,0.990184466246437,0.00662227231530469,0.00662227231530469
"Chiguayante",0.111443900466267,0.888556099533733,0.0329971428384384,0.0329971428384384
"Chillan",0.105735592830161,0.894264407169839,0.0267640707457095,0.0267640707457095
"Chillan Viejo",0.0305734366397398,0.96942656336026,0.0110686385583115,0.0110686385583115
"Chimbarongo",0.00796673380112388,0.992033266198876,0.0055033137573537,0.0055033137573537
"Coihaique",0.0310699776148017,0.968930022385198,0.0100714532295183,0.0100714532295183
"Coihueco",0.0231432962705906,0.976856703729409,0.0182374457426691,0.0182374457426691
"Colina",0.281935873065382,0.718064126934618,0.0547826715024805,0.0547826715024805
"Collipulli",0.0191640360144271,0.980835963985573,0.0135180857710033,0.0135180857710033
"Concepcion",0.422640511089389,0.577359488910611,0.0396819740268992,0.0396819740268992
"Conchali",0.123830660760875,0.876169339239125,0.0269169297829858,0.0269169297829858
"Concon",0.709822172429652,0.290177827570348,0.054199244435905,0.054199244435905
"Constitucion",0.0833950023126538,0.916604997687346,0.0349172114361961,0.0349172114361961
"Copiapo",0.188798128483928,0.811201871516072,0.034359239046335,0.034359239046335
"Coquimbo",0.0693077709040496,0.93069222909595,0.0235149373438837,0.0235149373438837
"Coronel",0.0612252013822013,0.938774798617799,0.018504529367564,0.018504529367564
"Curico",0.0637300306447522,0.936269969355248,0.0176641923206829,0.0176641923206829
"Donihue",0.0138772905596416,0.986122709440359,0.0136022093745115,0.0136022093745115
"El Bosque",0.274161079523749,0.725838920476251,0.0715648431937947,0.0715648431937946
"Estacion Central",0.453220075858669,0.546779924141331,0.0591677128555623,0.0591677128555623
"Graneros",0.0751040010297968,0.924895998970203,0.0207706609003882,0.0207706609003882
"Hualpen",0.146918778188608,0.853081221811392,0.0371695600548533,0.0371695600548532
"Huechuraba",0.33086843952931,0.66913156047069,0.0894714431144217,0.0894714431144217
"Illapel",0.0246800461527563,0.975319953847244,0.0106080461524762,0.0106080461524762
"Independencia",0.688097634013739,0.311902365986261,0.0728403523153628,0.0728403523153628
"Iquique",0.339878756249021,0.660121243750979,0.0372133502369588,0.0372133502369588
"La Cisterna",0.440853023237058,0.559146976762942,0.0666007943037472,0.0666007943037472
"La Florida",0.34323143314402,0.65676856685598,0.0435628318727651,0.0435628318727651
"La Granja",0.1021537357202,0.8978462642798,0.0270418808961803,0.0270418808961803
"La Ligua",0.0360442443451522,0.963955755654848,0.0132539856116663,0.0132539856116663
"La Pintana",0.130066551248205,0.869933448751794,0.0484822318118855,0.0484822318118855
"La Reina",0.482268834022836,0.517731165977164,0.0506151691245447,0.0506151691245447
"La Serena",0.220257573595207,0.779742426404793,0.0347995189866808,0.0347995189866808
"La Union",0.0437686862939951,0.956231313706005,0.014017230620188,0.014017230620188
"Lampa",0.120321760797891,0.879678239202109,0.0242086786904661,0.0242086786904661
"Las Condes",0.806828231255613,0.193171768744387,0.0411786839620769,0.0411786839620769
"Lautaro",0.00847351817068465,0.991526481829315,0.00849103619820348,0.00849103619820348
"Lebu",0.00748608776181937,0.992513912238181,0.00526459516746749,0.00526459516746749
"Limache",0.424172411168863,0.575827588831137,0.0608334298502154,0.0608334298502154
